No.,geographic location,,,,,spatial form,,,site selecting,,,,process of construction,,,,,,notes,
,city,circuit,prefecture,county,order,water body,range,mark,distance from the city,close to traffic hubs,connected with existing waters,combined with scenic areas,year of construction/renovation (reign era),year of construction/renovation (common era),construction or renovation,Identity of the Founder,collabrating with religious organisations,economising resources and caring for the people,data source,orginal text
21,Zhaoqing,Guangnan East Circuit,Zhaoqing Prefecture,,1,river or stream,unknown,pavilion,no more than 3 li outside,no,yes,yes,the 9th year of the Chunyou Period,1249,renovation or relocation and reconstruction,prefecture chief,no,unknown,¡¶È«ËÎÎÄµÚÈı°ÙËÄÊ®ËÄ²á¡¤¾íÆß¾ÅËÄÈı¡¤ÕØÇì¸®·ÅÉúÏÌÈôÍ¤¼Ç¡·,ÔÚÆßĞÇÑÒ
22,Jingjiang,Guangnan West Circuit,Jiangjiang Prefecture,,1,lake or pond,2-10 li,unknown,no more than 3 li outside,no,yes,yes,the Chunxi Period,1174-1189,initial construction,others,unknown,unknown,£¨¼Î¾¸£©_Î÷Í¨Ö¾60¾í _Î÷Í¨Ö¾¾íµÚÊ®¶ş Ã÷¼Î¾¸Ê®Äê¿Ì±¾,Î÷ºşÔÚ³ÇÎ÷ÈıÀïÎ÷É½Ö®ÏÂ_¡õ_É½Áù¶´_Æß°Ù__ÔÚÌÆÃûÆäÔ´_ÃÉÈªÆäÁ÷_ÏæÇåºş¾Ã_ËÎÇ¬µÀ__ÂÔ___¶·____´¾Îõ____ÊÃÒÔ_·ÅÉú³ØÔª¼¾_Ìï_ÒÓ
23,Yongfu,Guangnan West Circuit,Jiangjiang Prefecture,Yongfu County,1,lake or pond,within 2 li,others,inside,no,unknown,no,the Jiading Period,1208-1224,initial construction,county chief,yes,unknown,£¨__£©ÓÀ¸£_Ö¾6¾í ÓÀ¸£_Ö¾¾íÖ®Ò» _±¾,·ÅÉú³Ø¶şÒ»ÔÚÖØ¹âËÂ___Ç°ËÎÖª__°²ÀÏÁ¢·ÅÉú³Ø½ç±®ÔÚ___Ç°
24,Haikang,Guangnan West Circuit,Leizhou,Haikang County,1,lake or pond,2-10 li,unknown,no more than 3 li outside,no,yes,no,the Duanping Period,1234-1236,initial construction,others,unknown,unknown,£¨__£©À×Öİ¸®Ö¾22¾í À×Öİ¸®Ö¾¾íÖ®Èı Ã÷__ËÄÊ®¶şÄê¿Ì±¾,·ÅÉú³Ø _Î÷ºşËÎ¶ËÆ½Äê_ÌáĞÌ_çıÁ¢Ôª_
25,Suixi,Guangnan West Circuit,Leizhou,Suixi County,1,lake or pond,within 2 li,unknown,no more than 3 li outside,no,yes,no,the Xianchun Period,1265-1274,initial construction,prefecture chief,unknown,unknown,£¨__£©À×Öİ¸®Ö¾22¾í À×Öİ¸®Ö¾¾íÖ®Èı Ã÷__ËÄÊ®¶şÄê¿Ì±¾,·ÅÉú³Ø _ÄÏËÎ¿¤ÊØ_´óÕğì¶°øÌÁË®____³Øáá_
26,Qiongzhou,Guangnan West Circuit,Qiongzhuo,,1,lake or pond,within 2 li,others,no more than 3 li outside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶ÓßµØ¼ÍÊ¤¡¤¾íµÚÒ»°Ù¶şÊ®ËÄ¡¤¾°ÎïÏÂ¡·,
27,Chuzhou,Huainan East Circuit,Chuzhou,,1,lake or pond,within 2 li,pavilion,no more than 3 li outside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶ÓßµØ¼ÍÊ¤¡¤¾íµÚÈıÊ®¾Å¡¤¾°ÎïÉÏ¡·,
28,Taizhou,Huainan East Circuit,Taizhou,,1,lake or pond,within 2 li,unknown,inside,no,unknown,no,unknown,unknown,unknow,unknown,yes,unknown,¡¶ÓßµØ¼ÍÊ¤¡¤¾íµÚËÄÊ®¡¤¾°ÎïÏÂ¡·,ÔÚ×Ê¸£Ôº
29,Tongzhou,Huainan East Circuit,Tongzhou,,1,river or stream,more than 10 li,unknown,no more than 3 li outside,no,yes,no,the 12th year of the Shaoxing Period,1142,initial construction,prefecture chief,no,unknown,¡¶È«ËÎÎÄµÚÒ»°Ù°ËÊ®¶ş²á¡¤¾íÈı¾Å¾ÅËÄ¡¤·ÅÉú³Ø¼Ç¡·,
30,Zhenzhou,Huainan East Circuit,Zhenzhou,,1,lake or pond,2-10 li,others,no more than 3 li outside,no,yes,no,the 5th year of Jiading Period,1212,initial construction,prefecture chief,no,unknown,¡¶È«ËÎÎÄµÚÈı°ÙÁù²á¡¤¾íÁù¾ÅÆßÁù¡¤·ÅÉú³Ø¼Ç¡·,ÒòÚòÎª³Ø
