No.,geographic location,,,,,spatial form,,,site selecting,,,,process of construction,,,,,,notes,
,city,circuit,prefecture,county,order,water body,range,mark,distance from the city,close to traffic hubs,connected with existing waters,combined with scenic areas,year of construction/renovation (reign era),year of construction/renovation (common era),construction or renovation,Identity of the Founder,collabrating with religious organisations,economising resources and caring for the people,data source,orginal text
92,Fuyang,Liangzhe West Circuit,Linan Prefecture,Fuyang County,2,river or stream,unknown,pavilion,no more than 3 li outside,yes,yes,yes,the 20th year of the Shaoxing Period,1150,renovation or relocation and reconstruction,county chief,no,yes,¡¶ÏÌ´¾ÁÙ°²Ö¾¡¤¾íÈıÊ®°ËÉ½´¨Ê®Æß¡·¡¶È«ËÎÎÄµÚÒ»°Ù¾ÅÊ®¶ş²á¡¤¾íËÄ¶ş¶ş¾Å¡¤·ÅÉú³Ø¼Ç¡·,_ÔÚ__µ¤Ï¼_×ó__¶şÊ®ÄêÁî__½¨Î¾_Ñå¶Ë_¡¡ááÁî³Ì_ÒÆÖÃÍ¨__ÉÏ
93,Xincheng,Liangzhe West Circuit,Linan Prefecture,Xincheng County,1,lake or pond,within 2 li,others,3-10 li outside,no,yes,yes,unknown,unknown,unknow,unknown,yes,unknown,¡¶ÏÌ´¾ÁÙ°²Ö¾¡¤¾íÈıÊ®°ËÉ½´¨Ê®Æß¡·¡¶È«ËÎÎÄµÚ¶ş°ÙÒ»Ê®¾Å²á¡¤¾íËÄ°ËÁùÁù¡¤·ÅÉú³Ø¼Ç¡·,
94,Yanguan,Liangzhe West Circuit,Linan Prefecture,Yanguan County,1,lake or pond,within 2 li,others,inside,no,unknown,no,unknown,unknown,unknow,unknown,yes,unknown,¡¶ÏÌ´¾ÁÙ°²Ö¾¡¤¾íÈıÊ®°ËÉ½´¨Ê®Æß¡·¡¶È«ËÎÎÄµÚ¶ş°Ù¾ÅÊ®Èı²á¡¤¾íÁùÁù°Ë¶ş¡¤·ÅÉú³ØÍ¤¼Ç¡·,¾ÉÔÚ°²¹úËÂÖ®×ó£¬ºóĞÂ½¨ÃæºÓÎªÍ¤Èı¼ä
95,Yanguan,Liangzhe West Circuit,Linan Prefecture,Yanguan County,2,river or stream,unknown,hall,inside,no,yes,no,ÇìÔªËÄÄê,1198,renovation or relocation and reconstruction,county chief,no,yes,¡¶ÏÌ´¾ÁÙ°²Ö¾¡¤¾íÈıÊ®°ËÉ½´¨Ê®Æß¡·¡¶È«ËÎÎÄµÚ¶ş°Ù¾ÅÊ®Èı²á¡¤¾íÁùÁù°Ë¶ş¡¤·ÅÉú³ØÍ¤¼Ç¡·,¾ÉÔÚ°²¹úËÂÖ®×ó£¬ºóĞÂ½¨ÃæºÓÎªÍ¤Èı¼ä
96,Yuqian,Liangzhe West Circuit,Linan Prefecture,Yuqian County,1,lake or pond,within 2 li,unknown,no more than 3 li outside,no,unknown,no,unknown,unknown,unknow,unknown,yes,unknown,¡¶ÏÌ´¾ÁÙ°²Ö¾¡¤¾íÈıÊ®°ËÉ½´¨Ê®Æß¡·,_ÔÚ_ÄÏ_¸£Ôº__ÎõÖĞÁîÉÛÎÄ±ş½¨¸¡Ïª_ÒòáãÏª¡¡ÉÏ
97,Yuqian,Liangzhe West Circuit,Linan Prefecture,Yuqian County,2,river or stream,unknown,bridge,no more than 3 li outside,yes,yes,no,the Shaoxi Period,1190-1194,renovation or relocation and reconstruction,county chief,no,unknown,¡¶ÏÌ´¾ÁÙ°²Ö¾¡¤¾íÈıÊ®°ËÉ½´¨Ê®Æß¡·,_ÔÚ_ÄÏ_¸£Ôº__ÎõÖĞÁîÉÛÎÄ±ş½¨¸¡Ïª_ÒòáãÏª¡¡ÉÏ
98,Changshu,Liangzhe West Circuit,Pingjiang Prefecture,Changshu County,1,lake or pond,within 2 li,others,no more than 3 li outside,no,unknown,no,the 4th year of the Qingyuan Period,unknown,unknow,unknown,yes,unknown,¡¶ÇÙ´¨Ö¾¡¤¾íÒ»ĞğÏØ¡·,·ÅÉú³Ø_¼´ÆÆÉ½_¸£ËÂ°×_³Ø_Ö®Ç¬µÀ_Áî_ÉÆÀ¨¡¡¡¡¸Ä¾Í_Ëş³ç½Ì_¸£ËÂ¡¡
99,Changshu,Liangzhe West Circuit,Pingjiang Prefecture,Changshu County,2,lake or pond,within 2 li,others,no more than 3 li outside,no,unknown,no,the Qiandao Period,1165-1173,renovation or relocation and reconstruction,county chief,yes,unknown,¡¶ÇÙ´¨Ö¾¡¤¾íÒ»ĞğÏØ¡·,·ÅÉú³Ø_¼´ÆÆÉ½_¸£ËÂ°×_³Ø_Ö®Ç¬µÀ_Áî_ÉÆÀ¨¡¡¡¡¸Ä¾Í_Ëş³ç½Ì_¸£ËÂ¡¡
100,Kunshan,Liangzhe West Circuit,Pingjiang Prefecture,Kunshan County,1,lake or pond,within 2 li,others,no more than 3 li outside,no,unknown,no,unknown,unknown,unknow,unknown,yes,unknown,¡¶Óñ·åÖ¾¡¤¾íÏÂ¡·¡¶È«ËÎÎÄµÚÈı°ÙËÄÊ®Áù²á¡¤¾íÆß¾Å¾Å¾Å¡¤°ÏÓùÊé·ÅÉú³Ø±®¡·,
101,Yanzhou,Liangzhe West Circuit,Yanzhou,,1,lake or pond,2-10 li,others,inside,no,yes,yes,the 1st year of the Jiangkang Period,1126,initial construction,prefecture chief,yes,unknown,¡¶´¾ÎõÑÏÖİÍ¼¾­¡¤¾í¶ş¡·,ºşÔÚ°²Ì©_Íâ_ÈáÎå°ÙËÄÊ®¶şÕÉÌÆÏÌÍ¨ÖĞØİÊ·Ù¹__ÖÃ_·½¸É¼¯ÓĞºî¼´ÖĞĞÂÖÃÎ÷ºş__ÓĞÒ»Ï¦___¹Å´æÖ®¾ä __ÖİÔÚÆäÖĞ _³¯¾¸¿µÔªÄêÖªÖİÁèÌÆ×ôÉêÆò³ä·ÅÉú³Ø_½ñ²»_³Ø
102,Chun'an,Liangzhe West Circuit,Yanzhou,Chun'an County,1,river or stream,unknown,pavilion,inside,no,yes,no,unknown,unknown,unknow,unknown,no,unknown,¡¶¾°¶¨ÑÏÖİĞøÖ¾¡¤¾íÁù¡·,__Í¤ÔÚ_Î÷_Ïª_×£_·ÅÉúÖ®Ëù
103,Chun'an,Liangzhe West Circuit,Yanzhou,Chun'an County,1,unknown,unknown,pavilion,no more than 3 li outside,no,unknown,no,unknown,unknown,unknow,unknown,no,unknown,¡¶¾°¶¨ÑÏÖİĞøÖ¾¡¤¾í¾Å¡·,ÏÌÈôÍ¤ÔÚ__¶şÀï_×£_·ÅÉúÖ®Ëù
104,Zhengjiang,Liangzhe West Circuit,Zhengjiang Prefecture,,1,lake or pond,within 2 li,pavilion,inside,no,unknown,no,the 15th year of the Jiading Period,1222,renovation or relocation and reconstruction,prefecture chief,no,unknown,¡¶¼Î¶¨Õò½­Ö¾¡¤¾íÁù¡·¡¶È«ËÎÎÄµÚÈı°ÙÒ»²á¡¤¾íÁù°ËÆßÎå¡¤·ÅÉú³Ø¼Ç¡·,
105,Jintan,Liangzhe West Circuit,Zhengjiang Prefecture,Jintan County,1,lake or pond,within 2 li,pavilion,no more than 3 li outside,no,unknown,no,the 18th year of the Shaoxing Period,1148,initial construction,county chief,no,unknown,¡¶È«ËÎÎÄµÚÒ»°ÙÁùÊ®°Ë²á¡¤¾íÈıÁùÆß°Ë¡¤½ğÌ³ÏØ·ÅÉú³Ø¼Ç¡·,
